Category,UPC,Reference No.,Item Name,Item Name2,Size,Retail Price,Supplier Cost,GST,PST,Unnamed: 10,TAX4,Supplier,Price Group,Deposit Group,Deposit Amount,Env. Fee,Carton Barcode,Active,Open Item,Scale Item,Redemption Item,WIC Item,Food Stamp Item,Special Item,Reward Point Item,Sale Qty Limit Item,Prepaid Item,Percent Discount Item,Print Label,Carton,Hold Qty,Manage Inv.,On Hand,Inv. Level,Inv. Threshold Level,Discount Rule,Discount Period,Discount Start Date,Discount End Date,Discount Qty,Discount Price,Per Unit,Tax Included,Margin Rate,Default Limited Sale Qty,Tare,Box Cost,Box Qty,Memo,Last Updated Date
Grocery,723246176703,,Methi Seeds/Fenu greek 200gr,,,1.65,1.08,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,35.0,0,No Tare,0.0,1,,
Grocery,723246186634,,Whole chilli 400 gr,,,8.43,5.9,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,N,31.0,0,No Tare,0.0,1,,
Grocery,8901441011018,,lizzath black pepper papad,,,2.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,723246265988,,laxmi castor oil @ishta,,,6.4,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,8906147050446,,deccan organic sona masoori,,,25.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906147052747,,deccan soma masoori,,,24.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-5,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,793591862460,,peri peri banana chips,,,2.49,0.0,Y,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-8,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,8906009073880,,unibic butter cookie,,,0.6,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8901491100533,,kurkure chilli chatka,,,1.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-19,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8904430100083,,garam masala whole 400g,,,8.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,648564231593,,onion palli chekkalu,,,3.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-6,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,060410054406,,dorito nacho cheese,,,3.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-5,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,060410054420,,dorito sweet chili heat,,,3.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8901063151376,,good day pista-almond,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Deli,063111109543,,rogers berry sugar 1kg,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Frozen,884282012995,,verka kulfi ice cream,,,9.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-5,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,723246287997,,laxmi peanut oil cold pressed 5L,,,41.99,0.0,N,N,Y,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-9,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
